filename;mzmine_sample_type;run_date;correct_name;Date_exp;Plant_species;Exposure_time;Treatment;Wet_weight;Quantity_for_extraction;;;Survival
20260204_Elena_QC_2.mzML;qc;2026-02-04T14:02:46;\2026\Rasmann\Elena\20260204_Elena_sample_MV10.2;29.08.2025;M. verticillatum;72h;Induced;336;3;11;;
20260204_Elena_QC_4.mzML;qc;2026-02-04T20:10:59;\2026\Rasmann\Elena\20260204_Elena_sample_MV10.2;29.08.2025;M. verticillatum;72h;Induced;336;3;11;;
20260204_Elena_sample_LG11.1.mzML;sample;2026-02-04T10:28:57;\2026\Rasmann\Elena\20260204_Elena_sample_MV10.1;29.08.2025;M. verticillatum;72h;Induced;235.1;12;;4;
20260204_Elena_sample_LG11.1_end.mzML;sample;2026-02-04T20:21:35;\2026\Rasmann\Elena\20260204_Elena_sample_MV10.1;29.08.2025;M. verticillatum;72h;Induced;235.1;12;;4;
20260204_Elena_sample_LG11.2.mzML;sample;2026-02-04T10:39:31;\2026\Rasmann\Elena\20260204_Elena_sample_MV9.2;29.08.2025;M. verticillatum;72h;Induced;247.1;12;;;
20260204_Elena_sample_LG12.1.mzML;sample;2026-02-04T10:50:04;\2026\Rasmann\Elena\20260204_Elena_sample_MV9.1;29.08.2025;M. verticillatum;72h;Induced;202.4;13;;2;
20260204_Elena_sample_LG12.2.mzML;sample;2026-02-04T11:00:39;\2026\Rasmann\Elena\20260204_Elena_sample_MV8.2;29.08.2025;M. verticillatum;72h;Induced;441.8;14;;3;
20260204_Elena_sample_MH1.1.mzML;sample;2026-02-04T11:11:15;\2026\Rasmann\Elena\20260204_Elena_sample_MV7.2;29.08.2025;M. verticillatum;72h;Induced;311.9;10;;4;
20260204_Elena_sample_MH1.2.mzML;sample;2026-02-04T11:21:51;\2026\Rasmann\Elena\20260204_Elena_sample_MV7.1;29.08.2025;M. verticillatum;72h;Induced;241.1;12;;6;
20260204_Elena_sample_MH2.2.mzML;sample;2026-02-04T11:43;\2026\Rasmann\Elena\20260204_Elena_sample_MH6.1;29.08.2025;M. verticillatum;72h;Control;203.6;11;;1;
20260204_Elena_sample_MH2.1.mzML;sample;2026-02-04T11:32:25;\2026\Rasmann\Elena\20260204_Elena_sample_MV6.2;29.08.2025;M. verticillatum;72h;Control;201.7;9;;5;
20260204_Elena_sample_MH3.1.mzML;sample;2026-02-04T11:53:34;\2026\Rasmann\Elena\20260204_Elena_sample_MV5.2;29.08.2025;M. verticillatum;72h;Control;202.6;11;;1;
20260204_Elena_sample_MH4.1.mzML;sample;2026-02-04T12:14:44;\2026\Rasmann\Elena\20260204_Elena_sample_MV4.2;29.08.2025;M. verticillatum;72h;Control;217.9;10;;5;
